y_true,y_pred_proba
0,0.5529958
0,0.0003478326
0,0.0037294058
0,3.0009883e-07
0,6.196767e-08
0,0.023149906
0,0.0005426451
0,1.7865821e-09
0,2.9731918e-05
0,8.18648e-06
0,6.4099694e-08
0,0.0001450931
0,3.9438376e-11
0,0.000106984946
0,2.5927632e-08
0,2.1317603e-06
0,8.6920715e-10
0,0.0028888544
0,7.191866e-10
0,0.010353724
0,3.6514662e-05
0,2.7081722e-05
0,0.0057655494
0,2.6740907e-09
0,0.04032305
0,0.4215663
0,0.0004470456
0,5.034482e-10
0,2.1614687e-08
0,2.9273185e-08
0,0.007014542
0,0.02249457
0,6.476927e-11
0,1.0401751e-05
0,0.00029866266
0,5.0226714e-07
0,9.109345e-05
0,3.085347e-05
0,7.0391253e-09
0,5.905377e-07
0,2.327823e-05
0,0.031218769
0,8.351364e-05
0,2.6080247e-08
0,4.8076267e-06
0,2.8837908e-06
0,2.314094e-06
0,2.5103228e-09
0,8.897781e-06
0,2.4626563e-06
0,1.9478515e-05
0,3.3616954e-09
0,4.3404965e-05
0,6.3490996e-10
0,0.0015461214
0,5.7169404e-06
0,1.7824337e-05
0,7.949389e-08
0,7.284644e-09
0,0.009495041
0,0.00015139434
0,0.022538437
0,0.0026304917
0,0.06373324
0,0.2608934
0,0.0019441776
0,0.00040793774
0,0.0085488595
0,1.0722232e-08
0,1.1897241e-07
0,3.96814e-08
0,7.02191e-05
0,0.20988953
0,0.0008719125
0,3.143202e-05
0,2.0168049e-05
0,1.4871894e-06
0,4.82123e-10
0,5.3881695e-07
0,0.0009963586
0,8.049873e-09
0,1.6565102e-07
0,9.254908e-06
0,0.00024587486
0,2.4989829e-08
0,6.787926e-07
0,0.86148167
0,3.75802e-12
0,8.03909e-08
0,0.00013329183
0,8.6194774e-07
0,6.214106e-08
0,3.0856623e-11
0,0.009725146
0,4.9186138e-08
0,0.013326545
0,1.0605746e-06
0,2.4857061e-07
0,3.5662854e-06
0,0.0015506765
0,0.000221371
0,6.699394e-07
0,0.0005623944
0,0.00013272084
0,0.0036267065
0,1.6184124e-05
0,2.3287132e-05
0,0.32399282
0,0.20300503
0,2.383193e-10
0,2.8989294e-07
0,0.00052701734
0,6.6713066e-11
0,1.12534305e-11
0,1.4709578e-05
0,4.1319985e-05
0,9.697308e-06
0,0.5502476
0,0.0020869174
0,0.00018043407
0,2.54531e-05
0,0.17359512
0,0.011694502
0,1.6811705e-06
0,0.32106984
0,0.0009970573
0,6.8419877e-06
0,7.006163e-06
0,0.00012206094
0,1.0546335e-09
0,5.7806014e-05
0,0.0024017603
0,5.600881e-05
0,5.355625e-06
0,0.00013131023
0,4.004049e-07
0,0.00032867043
0,6.694193e-05
0,1.0984487e-07
0,0.0019295473
0,0.074170835
0,1.4702382e-05
0,1.4880248e-11
0,2.1935858e-08
0,1.1077268e-05
0,4.400878e-05
0,3.2685107e-10
0,0.11145697
0,0.00010885476
0,6.5427457e-06
0,0.18451846
